#complex_pdb	chainsA	StructureA	chainsB	StructureB	Type	UnboundPDB	chainsUA	StructureA	UnboundPDB	chainsUB	StructureB
1dqj	AB	1DQJ_r_b.pdb	C	1DQJ_l_b.pdb	A	1DQQ	CD	1DQJ_r_u.pdb	3LZT	A	1DQJ_l_u.pdb
1e4k	AB	1E4K_r_b.pdb	C	1E4K_l_b.pdb	OR	2DTQ	AB	1E4K_r_u.pdb	1FNL	A	1E4K_l_u.pdb
1e6e	A	1E6E_r_b.pdb	B	1E6E_l_b.pdb	ES	1E1N	A	1E6E_r_u.pdb	1CJE	D	1E6E_l_u.pdb
1e6j	HL	1E6J_r_b.pdb	P	1E6J_l_b.pdb	A	1E6O	HL	1E6J_r_u.pdb	1A43	A	1E6J_l_u.pdb
1e96	A	1E96_r_b.pdb	B	1E96_l_b.pdb	OG	1MH1	A	1E96_r_u.pdb	1HH8	A	1E96_l_u.pdb
1eaw	A	1EAW_r_b.pdb	B	1EAW_l_b.pdb	EI	1EAX	A	1EAW_r_u.pdb	9PTI	A	1EAW_l_u.pdb
1eer	A	1EER_r_b.pdb	BC	1EER_l_b.pdb	OR	1BUY	A	1EER_r_u.pdb	1ERN	AB	1EER_l_u.pdb
1efn	B	1EFN_l_b.pdb	A	1EFN_r_b.pdb	OX	1AVV	A	1EFN_l_u.pdb	1FYN	A	1EFN_r_u.pdb
1emv	A	1EMV_r_b.pdb	B	1EMV_l_b.pdb	EI	1FSJ	B	1EMV_r_u.pdb	1IMQ	A	1EMV_l_u.pdb
1ewy	A	1EWY_r_b.pdb	C	1EWY_l_b.pdb	ES	1GJR	A	1EWY_r_u.pdb	1CZP	A	1EWY_l_u.pdb
1ezu	C	1EZU_r_b.pdb	AB	1EZU_l_b.pdb	EI	1TRM	A	1EZU_r_u.pdb	1ECZ	AB	1EZU_l_u.pdb
1f34	A	1F34_r_b.pdb	B	1F34_l_b.pdb	EI	4PEP	A	1F34_r_u.pdb	1F32	A	1F34_l_u.pdb
1f6m	A	1F6M_r_b.pdb	C	1F6M_l_b.pdb	ES	1CL0	A	1F6M_r_u.pdb	2TIR	A	1F6M_l_u.pdb
1fc2	C	1FC2_r_b.pdb	D	1FC2_l_b.pdb	OX	1BDD	A	1FC2_r_u.pdb	1FC1	AB	1FC2_l_u.pdb
1ffw	A	1FFW_r_b.pdb	B	1FFW_l_b.pdb	OX	3CHY	A	1FFW_r_u.pdb	1FWP	A	1FFW_l_u.pdb
1fle	E	1FLE_r_b.pdb	I	1FLE_l_b.pdb	EI	9EST	A	1FLE_r_u.pdb	2REL	A	1FLE_l_u.pdb
1fqj	A	1FQJ_r_b.pdb	B	1FQJ_l_b.pdb	OG	1TND	C	1FQJ_r_u.pdb	1FQI	A	1FQJ_l_u.pdb
1fsk	BC	1FSK_r_b.pdb	A	1FSK_l_b.pdb	AB	1FSK	BC	1FSK_r_u.pdb	1BV1	A	1FSK_l_u.pdb
1gcq	B	1GCQ_r_b.pdb	C	1GCQ_l_b.pdb	OX	1GRI	B	1GCQ_r_u.pdb	1GCP	B	1GCQ_l_u.pdb
1gl1	A	1GL1_r_b.pdb	I	1GL1_l_b.pdb	EI	4CHA	ABC	1GL1_r_u.pdb	1PMC	A	1GL1_l_u.pdb
1gla	G	1GLA_r_b.pdb	F	1GLA_l_b.pdb	ER	1BU6	O	1GLA_r_u.pdb	1F3Z	A	1GLA_l_u.pdb
1gpw	A	1GPW_r_b.pdb	B	1GPW_l_b.pdb	OX	1THF	D	1GPW_r_u.pdb	1K9V	F	1GPW_l_u.pdb
1grn	A	1GRN_r_b.pdb	B	1GRN_l_b.pdb	OG	1A4R	A	1GRN_r_u.pdb	1RGP	A	1GRN_l_u.pdb
1gxd	A	1GXD_r_b.pdb	C	1GXD_l_b.pdb	EI	1CK7	A	1GXD_r_u.pdb	1BR9	A	1GXD_l_u.pdb
1h1v	A	1H1V_r_b.pdb	G	1H1V_l_b.pdb	OX	1IJJ	B	1H1V_r_u.pdb	1P8X	A	1H1V_l_u.pdb
1h9d	A	1H9D_r_b.pdb	B	1H9D_l_b.pdb	OX	1EAN	A	1H9D_r_u.pdb	1ILF	A	1H9D_l_u.pdb
1hcf	AB	1HCF_r_b.pdb	X	1HCF_l_b.pdb	OR	1B98	AM	1HCF_r_u.pdb	1WWB	X	1HCF_l_u.pdb
1he8	B	1HE8_l_b.pdb	A	1HE8_r_b.pdb	OG	821P	A	1HE8_l_u.pdb	1E8Z	A	1HE8_r_u.pdb
1hia	AB	1HIA_r_b.pdb	I	1HIA_l_b.pdb	EI	2PKA	XY	1HIA_r_u.pdb	1BX8	A	1HIA_l_u.pdb
1i2m	A	1I2M_r_b.pdb	B	1I2M_l_b.pdb	OG	1QG4	A	1I2M_r_u.pdb	1A12	A	1I2M_l_u.pdb
1i4d	D	1I4D_l_b.pdb	AB	1I4D_r_b.pdb	OG	1MH1	A	1I4D_l_u.pdb	1I49	AB	1I4D_r_u.pdb
1ib1	AB	1IB1_r_b.pdb	E	1IB1_l_b.pdb	OX	1QJB	AB	1IB1_r_u.pdb	1KUY	A	1IB1_l_u.pdb
1ibr	A	1IBR_r_b.pdb	B	1IBR_l_b.pdb	OG	1QG4	A	1IBR_r_u.pdb	1F59	A	1IBR_l_u.pdb
1ijk	A	1IJK_l_b.pdb	BC	1IJK_r_b.pdb	ER	1AUQ	A	1IJK_l_u.pdb	1FVU	AB	1IJK_r_u.pdb
1iqd	AB	1IQD_r_b.pdb	C	1IQD_l_b.pdb	AB	1IQD	AB	1IQD_r_u.pdb	1D7P	M	1IQD_l_u.pdb
1j2j	A	1J2J_r_b.pdb	B	1J2J_l_b.pdb	OG	1O3Y	A	1J2J_r_u.pdb	1OXZ	A	1J2J_l_u.pdb
1jiw	P	1JIW_r_b.pdb	I	1JIW_l_b.pdb	EI	1AKL	A	1JIW_r_u.pdb	2RN4	A	1JIW_l_u.pdb
1jmo	A	1JMO_r_b.pdb	HL	1JMO_l_b.pdb	ER	1JMJ	A	1JMO_r_u.pdb	2CN0	HL	1JMO_l_u.pdb
1jps	HL	1JPS_r_b.pdb	T	1JPS_l_b.pdb	A	1JPT	HL	1JPS_r_u.pdb	1TFH	B	1JPS_l_u.pdb
1jtg	B	1JTG_l_b.pdb	A	1JTG_r_b.pdb	EI	3GMU	B	1JTG_l_u.pdb	1ZG4	A	1JTG_r_u.pdb
1jwh	CD	1JWH_r_b.pdb	A	1JWH_l_b.pdb	ER	3EED	AB	1JWH_r_u.pdb	3C13	A	1JWH_l_u.pdb
1k5d	AB	1K5D_r_b.pdb	C	1K5D_l_b.pdb	OG	1RRP	AB	1K5D_r_u.pdb	1YRG	B	1K5D_l_u.pdb
1kac	A	1KAC_r_b.pdb	B	1KAC_l_b.pdb	OR	1NOB	F	1KAC_r_u.pdb	1F5W	B	1KAC_l_u.pdb
1kkl	ABC	1KKL_r_b.pdb	H	1KKL_l_b.pdb	ES	1JB1	ABC	1KKL_r_u.pdb	2HPR	A	1KKL_l_u.pdb
1klu	AB	1KLU_r_b.pdb	D	1KLU_l_b.pdb	OX	1H15	AB	1KLU_r_u.pdb	1STE	A	1KLU_l_u.pdb
1ktz	A	1KTZ_r_b.pdb	B	1KTZ_l_b.pdb	OR	1TGK	A	1KTZ_r_u.pdb	1M9Z	A	1KTZ_l_u.pdb
1kxp	A	1KXP_r_b.pdb	D	1KXP_l_b.pdb	OX	1IJJ	B	1KXP_r_u.pdb	1KW2	B	1KXP_l_u.pdb
1kxq	H	1KXQ_l_b.pdb	A	1KXQ_r_b.pdb	AB	1KXQ	H	1KXQ_l_u.pdb	1PPI	A	1KXQ_r_u.pdb
1lfd	B	1LFD_r_b.pdb	A	1LFD_l_b.pdb	OG	5P21	A	1LFD_r_u.pdb	1LXD	A	1LFD_l_u.pdb
1m10	A	1M10_r_b.pdb	B	1M10_l_b.pdb	ER	1AUQ	A	1M10_r_u.pdb	1M0Z	B	1M10_l_u.pdb
1mah	A	1MAH_r_b.pdb	F	1MAH_l_b.pdb	EI	1J06	B	1MAH_r_u.pdb	1FSC	A	1MAH_l_u.pdb
1mlc	AB	1MLC_r_b.pdb	E	1MLC_l_b.pdb	A	1MLB	AB	1MLC_r_u.pdb	3LZT	A	1MLC_l_u.pdb
1mq8	A	1MQ8_r_b.pdb	B	1MQ8_l_b.pdb	OX	1IAM	A	1MQ8_r_u.pdb	1MQ9	A	1MQ8_l_u.pdb
1nb5	AP	1NB5_r_b.pdb	I	1NB5_l_b.pdb	EI	8PCH	A	1NB5_r_u.pdb	1DVC	A	1NB5_l_u.pdb
1nca	HL	1NCA_r_b.pdb	N	1NCA_l_b.pdb	AB	1NCA	HL	1NCA_r_u.pdb	7NN9	A	1NCA_l_u.pdb
1nsn	HL	1NSN_r_b.pdb	S	1NSN_l_b.pdb	AB	1NSN	HL	1NSN_r_u.pdb	1KDC	A	1NSN_l_u.pdb
1nvu	Q	1NVU_r_b.pdb	S	1NVU_l_b.pdb	OG	1LF0	A	1NVU_r_u.pdb	2II0	B	1NVU_l_u.pdb
1nvu	R	5NVU_r_b.pdb	S	5NVU_l_b.pdb	OG	1LF0	A	5NVU_r_u.pdb	2II0	B	5NVU_l_u.pdb
1nw9	B	1NW9_r_b.pdb	A	1NW9_l_b.pdb	ER	1JXQ	A	1NW9_r_u.pdb	2OPY	A	1NW9_l_u.pdb
1oc0	A	1OC0_r_b.pdb	B	1OC0_l_b.pdb	ER	1B3K	A	1OC0_r_u.pdb	2JQ8	A	1OC0_l_u.pdb
1oph	A	1OPH_r_b.pdb	B	1OPH_l_b.pdb	EI	1QLP	A	1OPH_r_u.pdb	2PTN	A	1OPH_l_u.pdb
1p2c	AB	1P2C_r_b.pdb	C	1P2C_l_b.pdb	A	2Q76	AB	1P2C_r_u.pdb	3LZT	A	1P2C_l_u.pdb
1ppe	E	1PPE_r_b.pdb	I	1PPE_l_b.pdb	EI	2PTN	A	1PPE_r_u.pdb	1LU0	A	1PPE_l_u.pdb
1pvh	A	1PVH_r_b.pdb	B	1PVH_l_b.pdb	OR	1BQU	A	1PVH_r_u.pdb	1EMR	A	1PVH_l_u.pdb
1pxv	A	1PXV_r_b.pdb	C	1PXV_l_b.pdb	EI	1X9Y	A	1PXV_r_u.pdb	1NYC	A	1PXV_l_u.pdb
1qa9	A	1QA9_r_b.pdb	B	1QA9_l_b.pdb	OX	1HNF	A	1QA9_r_u.pdb	1CCZ	A	1QA9_l_u.pdb
1r0r	E	1R0R_r_b.pdb	I	1R0R_l_b.pdb	EI	1SCN	E	1R0R_r_u.pdb	2GKR	I	1R0R_l_u.pdb
1r6q	A	1R6Q_r_b.pdb	C	1R6Q_l_b.pdb	ER	1R6C	X	1R6Q_r_u.pdb	2W9R	A	1R6Q_l_u.pdb
1rlb	ABCD	1RLB_r_b.pdb	E	1RLB_l_b.pdb	OX	2PAB	ABCD	1RLB_r_u.pdb	1HBP	A	1RLB_l_u.pdb
1rv6	VW	1RV6_r_b.pdb	X	1RV6_l_b.pdb	OR	1FZV	AB	1RV6_r_u.pdb	1QSZ	A	1RV6_l_u.pdb
1s1q	A	1S1Q_r_b.pdb	B	1S1Q_l_b.pdb	OX	2F0R	A	1S1Q_r_u.pdb	1YJ1	A	1S1Q_l_u.pdb
1t6b	X	1T6B_r_b.pdb	Y	1T6B_l_b.pdb	OR	1ACC	A	1T6B_r_u.pdb	1SHU	X	1T6B_l_u.pdb
1us7	A	1US7_r_b.pdb	B	1US7_l_b.pdb	ER	2FXS	A	1US7_r_u.pdb	2W0G	A	1US7_l_u.pdb
1uug	A	1UUG_r_b.pdb	B	1UUG_l_b.pdb	EI	3EUG	A	1UUG_r_u.pdb	2UGI	B	1UUG_l_u.pdb
1vfb	AB	1VFB_r_b.pdb	C	1VFB_l_b.pdb	A	1VFA	AB	1VFB_r_u.pdb	8LYZ	A	1VFB_l_u.pdb
1wdw	BD	1WDW_r_b.pdb	A	1WDW_l_b.pdb	ER	1V8Z	AB	1WDW_r_u.pdb	1GEQ	A	1WDW_l_u.pdb
1wej	HL	1WEJ_r_b.pdb	F	1WEJ_l_b.pdb	A	1QBL	HL	1WEJ_r_u.pdb	1HRC	A	1WEJ_l_u.pdb
1wq1	R	1WQ1_l_b.pdb	G	1WQ1_r_b.pdb	OG	6Q21	D	1WQ1_l_u.pdb	1WER	A	1WQ1_r_u.pdb
1xd3	A	1XD3_r_b.pdb	B	1XD3_l_b.pdb	OX	1UCH	A	1XD3_r_u.pdb	1YJ1	A	1XD3_l_u.pdb
1xqs	A	1XQS_r_b.pdb	C	1XQS_l_b.pdb	OX	1XQR	A	1XQS_r_u.pdb	1S3X	A	1XQS_l_u.pdb
1xu1	ABD	1XU1_r_b.pdb	T	1XU1_l_b.pdb	OR	1U5Y	ABD	1XU1_r_u.pdb	1XUT	A	1XU1_l_u.pdb
1yvb	A	1YVB_r_b.pdb	I	1YVB_l_b.pdb	EI	2GHU	A	1YVB_r_u.pdb	1CEW	I	1YVB_l_u.pdb
1z0k	A	1Z0K_r_b.pdb	B	1Z0K_l_b.pdb	OG	2BME	A	1Z0K_r_u.pdb	1YZM	A	1Z0K_l_u.pdb
1zhi	A	1ZHI_r_b.pdb	B	1ZHI_l_b.pdb	OX	1M4Z	A	1ZHI_r_u.pdb	1Z1A	A	1ZHI_l_u.pdb
1zli	A	1ZLI_r_b.pdb	B	1ZLI_l_b.pdb	EI	1KWM	A	1ZLI_r_u.pdb	2JTO	A	1ZLI_l_u.pdb
1zm4	A	1ZM4_r_b.pdb	B	1ZM4_l_b.pdb	ES	1N0V	C	1ZM4_r_u.pdb	1XK9	A	1ZM4_l_u.pdb
2a9k	A	2A9K_r_b.pdb	B	2A9K_l_b.pdb	ES	1U8Z	A	2A9K_r_u.pdb	2C8B	X	2A9K_l_u.pdb
2abz	B	2ABZ_r_b.pdb	E	2ABZ_l_b.pdb	EI	3I1U	A	2ABZ_r_u.pdb	1ZFI	A	2ABZ_l_u.pdb
2ajf	A	2AJF_r_b.pdb	E	2AJF_l_b.pdb	OR	1R42	A	2AJF_r_u.pdb	2GHV	E	2AJF_l_u.pdb
2aq3	A	2AQ3_r_b.pdb	B	2AQ3_l_b.pdb	OX	1BEC	A	2AQ3_r_u.pdb	1CK1	A	2AQ3_l_u.pdb
2b42	A	2B42_r_b.pdb	B	2B42_l_b.pdb	EI	2DCY	A	2B42_r_u.pdb	1T6E	X	2B42_l_u.pdb
2b4j	AB	2B4J_r_b.pdb	C	2B4J_l_b.pdb	OX	1BIZ	AB	2B4J_r_u.pdb	1Z9E	A	2B4J_l_u.pdb
2btf	A	2BTF_r_b.pdb	P	2BTF_l_b.pdb	OX	1IJJ	B	2BTF_r_u.pdb	1PNE	A	2BTF_l_u.pdb
2c0l	A	2C0L_r_b.pdb	B	2C0L_l_b.pdb	OX	1FCH	A	2C0L_r_u.pdb	1C44	A	2C0L_l_u.pdb
2fju	B	2FJU_r_b.pdb	A	2FJU_l_b.pdb	OG	2ZKM	X	2FJU_r_u.pdb	1MH1	A	2FJU_l_u.pdb
2gox	A	2GOX_r_b.pdb	B	2GOX_l_b.pdb	OX	1C3D	A	2GOX_r_u.pdb	2GOM	A	2GOX_l_u.pdb
2hle	A	2HLE_r_b.pdb	B	2HLE_l_b.pdb	OR	2BBA	A	2HLE_r_u.pdb	1IKO	P	2HLE_l_u.pdb
2hqs	A	2HQS_r_b.pdb	H	2HQS_l_b.pdb	OX	1CRZ	A	2HQS_r_u.pdb	1OAP	A	2HQS_l_u.pdb
2hrk	A	2HRK_r_b.pdb	B	2HRK_l_b.pdb	OX	2HRA	A	2HRK_r_u.pdb	2HQT	A	2HRK_l_u.pdb
2i25	N	2I25_r_b.pdb	L	2I25_l_b.pdb	A	2I24	N	2I25_r_u.pdb	3LZT	A	2I25_l_u.pdb
2i9b	E	2I9B_r_b.pdb	A	2I9B_l_b.pdb	OR	1YWH	A	2I9B_r_u.pdb	2I9A	A	2I9B_l_u.pdb
2j0t	A	2J0T_r_b.pdb	D	2J0T_l_b.pdb	EI	966C	A	2J0T_r_u.pdb	1D2B	A	2J0T_l_u.pdb
2jel	HL	2JEL_r_b.pdb	P	2JEL_l_b.pdb	AB	2JEL	HL	2JEL_r_u.pdb	1POH	A	2JEL_l_u.pdb
2mta	HL	2MTA_r_b.pdb	A	2MTA_l_b.pdb	ES	2BBK	JM	2MTA_r_u.pdb	2RAC	A	2MTA_l_u.pdb
2nyz	AB	2NYZ_r_b.pdb	D	2NYZ_l_b.pdb	OR	1MKF	AB	2NYZ_r_u.pdb	1J9O	A	2NYZ_l_u.pdb
2o3b	A	2O3B_r_b.pdb	B	2O3B_l_b.pdb	EI	1ZM8	A	2O3B_r_u.pdb	1J57	A	2O3B_l_u.pdb
2oob	A	2OOB_r_b.pdb	B	2OOB_l_b.pdb	ES	2OOA	A	2OOB_r_u.pdb	1YJ1	A	2OOB_l_u.pdb
2oor	AB	2OOR_r_b.pdb	C	2OOR_l_b.pdb	ER	1L7E	AB	2OOR_r_u.pdb	1E3T	A	2OOR_l_u.pdb
2oul	A	2OUL_r_b.pdb	B	2OUL_l_b.pdb	EI	3BPF	A	2OUL_r_u.pdb	2NNR	A	2OUL_l_u.pdb
2oza	B	2OZA_r_b.pdb	A	2OZA_l_b.pdb	OX	3HEC	A	2OZA_r_u.pdb	3FYK	X	2OZA_l_u.pdb
2pcb	A	2PCB_r_b.pdb	B	2PCB_l_b.pdb	ES	1CCP	A	2PCB_r_u.pdb	1HRC	A	2PCB_l_u.pdb
2pcc	A	2PCC_r_b.pdb	B	2PCC_l_b.pdb	ES	1CCP	A	2PCC_r_u.pdb	1YCC	A	2PCC_l_u.pdb
2ptc	E	2PTC_r_b.pdb	I	2PTC_l_b.pdb	EI	2PTN	A	2PTC_r_u.pdb	9PTI	A	2PTC_l_u.pdb
2sic	E	2SIC_r_b.pdb	I	2SIC_l_b.pdb	EI	1SUP	A	2SIC_r_u.pdb	3SSI	A	2SIC_l_u.pdb
2sni	E	2SNI_r_b.pdb	I	2SNI_l_b.pdb	EI	1UBN	A	2SNI_r_u.pdb	2CI2	I	2SNI_l_u.pdb
2tgp	Z	2TGP_l_b.pdb	I	2TGP_r_b.pdb	EI	1TGB	A	2TGP_l_u.pdb	9PTI	A	2TGP_r_u.pdb
2uuy	A	2UUY_r_b.pdb	B	2UUY_l_b.pdb	EI	2PTN	A	2UUY_r_u.pdb	2UUX	A	2UUY_l_u.pdb
2vdb	A	2VDB_r_b.pdb	B	2VDB_l_b.pdb	OX	3CX9	A	2VDB_r_u.pdb	2J5Y	A	2VDB_l_u.pdb
2vir	AB	2VIR_r_b.pdb	C	2VIR_l_b.pdb	A	1GIG	LH	2VIR_r_u.pdb	2HMG	ACE	2VIR_l_u.pdb
2vis	AB	2VIS_r_b.pdb	C	2VIS_l_b.pdb	A	1GIG	LH	2VIS_r_u.pdb	2VIU	ACE	2VIS_l_u.pdb
2wpt	A	2WPT_l_b.pdb	B	2WPT_r_b.pdb	EI	1FSJ	B	2WPT_l_u.pdb	2NO8	A	2WPT_r_u.pdb
3bp8	AB	3BP8_r_b.pdb	C	3BP8_l_b.pdb	OX	1Z6R	AB	3BP8_r_u.pdb	3BP3	A	3BP8_l_u.pdb
3bzd	A	3BZD_r_b.pdb	B	3BZD_l_b.pdb	OX	1BEC	A	3BZD_r_u.pdb	3BVZ	A	3BZD_l_u.pdb
3cph	G	3CPH_r_b.pdb	A	3CPH_l_b.pdb	OG	1G16	A	3CPH_l_u.pdb	3CPI	G	3CPH_r_u.pdb
3sgb	E	3SGB_r_b.pdb	I	3SGB_l_b.pdb	EI	2QA9	E	3SGB_r_u.pdb	2OVO	A	3SGB_l_u.pdb
4cpa	A	4CPA_r_b.pdb	I	4CPA_l_b.pdb	EI	8CPA	A	4CPA_r_u.pdb	1H20	A	4CPA_l_u.pdb
